Session,Perf_LFP,Perf_MUAe,Birds,Sex,Depth
1,0.0133978724479675,0.0456529259681702,F2,2,1
1,-0.000608444213867188,-0.000661134719848633,F2,2,1
1,0.00738978385925293,0.052509069442749,F2,2,1
1,0.0414165258407593,0.0723173022270203,F2,2,1
1,0.00434887409210205,0.0406487584114075,F2,2,1
1,0.0614192485809326,0.08132004737854,F2,2,1
1,0.00366443395614624,0.124566912651062,F2,2,1
1,0.01092129945755,0.0618937015533447,F2,2,1
1,0.00239253044128418,0.0674773454666138,F2,2,1
1,0.00717931985855103,0.127996444702148,F2,2,1
1,0.00320720672607422,0.0225290656089783,F2,2,1
1,0.000968337059020996,0.0336511731147766,F2,2,1
1,0.00628942251205444,0.0472848415374756,F2,2,1
1,0.000525832176208496,0.0868118405342102,F2,2,1
1,0.051161527633667,0.0155215859413147,F2,2,1
1,0.0456274747848511,0.130716323852539,F2,2,1
1,0.0095018744468689,0.0364935398101807,F2,2,1
1,0.00188738107681274,0.0300002694129944,F2,2,1
1,0.00149542093276978,0.00706773996353149,F2,2,1
1,-0.000712871551513672,0.113976657390594,F2,2,1
1,0.0752177834510803,0.0135060548782349,F2,2,1
1,0.0489451885223389,-0.00111842155456543,F2,2,1
1,0.00320523977279663,0.169688045978546,F2,2,1
1,0.0018424391746521,0.00830686092376709,F2,2,1
1,0.0311813950538635,0.0335544347763062,F2,2,1
1,0.0150601863861084,0.107920527458191,F2,2,1
1,0.0370182991027832,0.0680772066116333,F2,2,1
1,-0.000188112258911133,0.0249509215354919,F2,2,1
1,0.0191254019737244,0.00635784864425659,F2,2,1
1,0.00875025987625122,0.00811529159545898,F2,2,1
1,0.0616435408592224,0.0260792374610901,F2,2,1
1,-0.000787854194641113,0.0179766416549683,F2,2,1
1,0.0121752619743347,0.0720191597938538,F2,2,1
1,0.162904322147369,-0.00047004222869873,F2,2,1
1,-0.000676751136779785,0.0168988704681396,F2,2,1
1,0.0448818206787109,0.0864560604095459,F2,2,1
1,0.00394284725189209,0.0578367114067078,F2,2,1
1,0.00880730152130127,0.0201692581176758,F2,2,1
1,0.0854361653327942,0.0525841116905212,F2,2,1
1,0.00215423107147217,0.0106907486915588,F2,2,1
1,0.0205576419830322,-0.000687122344970703,F2,2,1
1,0.0646082758903503,0.0598243474960327,F2,2,1
1,-0.000939369201660156,0.0185624361038208,F2,2,1
1,-0.000619292259216309,-0.000873565673828125,F2,2,1
1,0.014743983745575,0.0221462249755859,F2,2,1
1,6.4551830291748e-05,0.143555223941803,F2,2,1
1,0.00368630886077881,0.0241981744766235,F2,2,1
1,-0.00104236602783203,0.00328224897384644,F2,2,1
1,0.00437718629837036,-0.00083160400390625,F2,2,1
