Session_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
1,69.1234944172857,65.9961328251914,F2,2,1
2,58.6599106894925,61.1242405689689,M2,1,1
3,78.495387818725,69.6358850048398,M2,1,1
4,85.5347178817173,76.4729500344414,F3,2,1
5,79.6524133876956,72.57008894929,M1,1,1
6,66.1271824787239,71.2845843248196,F1,2,1
7,80.8779433396775,73.2394729903258,M1,1,2
8,92.3298070612672,92.7868166795677,M2,1,2
9,84.8401153980652,76.0958529800614,M1,1,2
10,91.6862504523601,92.5435360414881,M2,1,2
11,89.4535153435843,93.6627763736195,M2,1,2
12,68.8223964297616,86.448403447416,F1,2,2
13,70.4386272219031,83.881161430599,F1,2,2
14,83.924847098888,78.2346932995956,M1,1,2
15,90.0703346533496,90.9631098763628,M2,1,2
16,85.3144192745044,88.1030508960661,F3,2,2
17,86.1903798498981,79.3870018039275,M1,1,3
18,71.4491181235693,67.8589275124294,F1,2,3
19,84.4006425021746,85.4067300557552,M3,1,3
20,87.5744341866067,91.8434317133119,M2,1,3
21,85.1500705861036,84.3018240069808,F3,2,3
22,70.2081478650335,71.6683018842186,F1,2,3
23,86.6497242658697,88.7273041891787,M2,1,3
24,74.9610505365467,74.391185909649,F1,2,3
25,71.3539382404307,80.3595691205446,M2,1,4
26,76.7268796148543,82.1902338559016,F3,2,4
27,83.0397839442321,81.2610214846256,F1,2,4
28,87.5454931474907,86.4679290791876,M3,1,4
29,81.294611143788,74.6283081672853,M2,1,4
30,83.8071288145721,81.0291739046885,F3,2,4
31,79.3358556649897,86.5708083865506,M1,1,4
32,77.8745842352956,72.2196217527144,F1,2,4
33,84.9534226790465,85.6455022011721,M3,1,4
34,75.7010891154959,68.7750181238776,M2,1,4
35,70.9973390269671,64.7277574296487,M2,1,4
36,67.4984766338276,73.2655088159281,F3,2,4
37,74.2292831205861,64.7706953488778,F1,2,4
38,82.9821951316768,84.4606776735034,M3,1,4
39,87.3453428670305,92.7501237318421,M1,1,5
40,70.5664793393959,70.0201839982377,F1,2,5
41,67.7732837512946,63.4196613880435,M2,1,5
42,84.4155155638359,88.629855053488,F2,2,5
43,77.2061237622865,79.2668252728258,F1,2,5
44,86.2875208659921,85.3614168628001,M1,1,5
45,72.9337028152117,76.9794528477975,F2,2,5
46,90.7916867570038,94.0145594667364,M4,1,2
47,86.4262761296418,83.1769989533429,M4,1,2
48,85.5977503346385,85.4095946116331,M4,1,2
49,85.4971627475907,85.2964555495185,M4,1,3
50,81.7485140239544,75.4564463312867,M4,1,3
51,75.0490327002015,67.6766934126487,M4,1,3
