Session_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
1,21.5398982175065,13.1291399363689,F2,2,1
2,19.6195776001268,15.1882530281373,M2,1,1
3,34.5662637729201,21.405534037113,M2,1,1
4,46.0713729874577,34.2942418798312,F3,2,1
5,35.0143359618673,24.2261807770199,M1,1,1
6,14.5271418702322,22.2514578141279,F1,2,1
7,35.8474120400661,25.2783126364138,M1,1,2
8,71.6801143700692,60.1128092712076,M2,1,2
9,48.3168540907389,33.7278534074636,M1,1,2
10,69.1030782942548,59.9385457164095,M2,1,2
11,62.6676365401276,66.8908609624162,M2,1,2
12,19.0418213537409,49.2323405438731,F1,2,2
13,22.306404598703,47.7635538669339,F1,2,2
14,50.9892117399857,39.0354538058356,M1,1,2
15,62.1059281907716,56.6835114287764,M2,1,2
16,54.6315137478147,63.2523839112882,F3,2,2
17,58.1145961840345,40.5185918067386,M1,1,3
18,30.6659510062664,19.2714185288682,F1,2,3
19,54.9840309329473,62.3859615616582,M3,1,3
20,51.7825125797262,52.9142206142369,M2,1,3
21,52.601608942667,58.5091597151104,F3,2,3
22,23.6370030180473,26.9693364611337,F1,2,3
23,56.9970119892721,56.1016238854216,M2,1,3
24,29.8125290991781,24.3768158704643,F1,2,3
25,31.5778012427725,44.5483935200875,M2,1,4
26,40.5916384335131,53.1642566422884,F3,2,4
27,45.9461969165558,42.687507594055,F1,2,4
28,58.0016892722001,64.5925754671885,M3,1,4
29,41.4801075302949,32.8339406777569,M2,1,4
30,41.3768943670578,49.1150553452156,F3,2,4
31,46.9975667034491,45.0270916447387,M1,1,4
32,37.8600273010586,23.3921188424865,F1,2,4
33,47.7797339829074,62.681350211536,M3,1,4
34,30.8520230382037,19.2611730062476,M2,1,4
35,23.1768640470542,17.4342360548685,M2,1,4
36,20.7583569490174,27.0772867006097,F3,2,4
37,32.1384435641935,20.6871739786494,F1,2,4
38,46.8606844087658,59.4504861696906,M3,1,4
39,57.336076376324,59.1222860497803,M1,1,5
40,24.271853877117,23.2328171001255,F1,2,5
41,21.1096205739354,15.4835990749303,M2,1,5
42,43.9188471283754,51.8800240233758,F2,2,5
43,35.8922622743941,38.1226999039914,F1,2,5
44,44.2345347999576,40.4806334800632,M1,1,5
45,26.864548420276,31.9779914787655,F2,2,5
46,61.8786087002584,59.7403817986525,M4,1,2
47,55.6903812350976,42.0266657714815,M4,1,2
48,50.9248630339962,47.0452144175054,M4,1,2
49,50.1254028257071,50.3069112482479,M4,1,3
50,42.1451219825833,34.2530173412526,M4,1,3
51,35.18675857406,19.5174843540575,M4,1,3
