Session,Perf_LFP,Perf_MUAe,Birds,Sex,Depth
1,16.6666666666667,12.5,F2,2,1
1,33.3333333333333,12.5,F2,2,1
1,16.6666666666667,25,F2,2,1
1,16.6666666666667,20.8333333333333,F2,2,1
1,20.8333333333333,4.16666666666667,F2,2,1
1,20.8333333333333,20.8333333333333,F2,2,1
1,33.3333333333333,16.6666666666667,F2,2,1
1,12.5,8.33333333333333,F2,2,1
1,16.6666666666667,12.5,F2,2,1
1,8.33333333333333,25,F2,2,1
1,20.8333333333333,25,F2,2,1
1,8.33333333333333,20.8333333333333,F2,2,1
1,25,20.8333333333333,F2,2,1
1,16.6666666666667,16.6666666666667,F2,2,1
1,25,12.5,F2,2,1
1,20.8333333333333,12.5,F2,2,1
1,21.0526315789474,10.5263157894737,F2,2,1
1,36.8421052631579,0,F2,2,1
1,21.0526315789474,5.26315789473684,F2,2,1
1,15.7894736842105,21.0526315789474,F2,2,1
1,31.5789473684211,10.5263157894737,F2,2,1
1,52.6315789473684,21.0526315789474,F2,2,1
1,10.5263157894737,10.5263157894737,F2,2,1
1,36.8421052631579,10.5263157894737,F2,2,1
1,32,8,F2,2,1
1,36,12,F2,2,1
1,24,12,F2,2,1
1,16,16,F2,2,1
1,24,12,F2,2,1
1,40,12,F2,2,1
1,20,24,F2,2,1
1,20,15,F2,2,1
1,30,15,F2,2,1
1,15,20,F2,2,1
1,25,15,F2,2,1
1,10,15,F2,2,1
1,5,5,F2,2,1
1,25,5,F2,2,1
1,20,5,F2,2,1
1,10,20,F2,2,1
1,13.3333333333333,13.3333333333333,F2,2,1
1,20,40,F2,2,1
1,13.3333333333333,26.6666666666667,F2,2,1
1,26.6666666666667,13.3333333333333,F2,2,1
1,26.6666666666667,6.66666666666667,F2,2,1
1,20,20,F2,2,1
1,20,26.6666666666667,F2,2,1
1,13.3333333333333,13.3333333333333,F2,2,1
1,20,33.3333333333333,F2,2,1
1,17.6470588235294,23.5294117647059,F2,2,1
1,17.6470588235294,11.7647058823529,F2,2,1
1,5.88235294117647,29.4117647058824,F2,2,1
1,35.2941176470588,23.5294117647059,F2,2,1
1,23.5294117647059,11.7647058823529,F2,2,1
1,17.6470588235294,17.6470588235294,F2,2,1
1,5.88235294117647,5.88235294117647,F2,2,1
1,23.5294117647059,29.4117647058824,F2,2,1
1,29.4117647058824,5.88235294117647,F2,2,1
1,5.88235294117647,5.88235294117647,F2,2,1
1,23.5294117647059,11.7647058823529,F2,2,1
1,11.7647058823529,17.6470588235294,F2,2,1
1,23.5294117647059,0,F2,2,1
1,35.2941176470588,5.88235294117647,F2,2,1
1,29.4117647058824,0,F2,2,1
1,29.4117647058824,11.7647058823529,F2,2,1
1,17.6470588235294,17.6470588235294,F2,2,1
1,41.6666666666667,16.6666666666667,F2,2,1
1,33.3333333333333,41.6666666666667,F2,2,1
1,0,33.3333333333333,F2,2,1
1,33.3333333333333,0,F2,2,1
1,25,8.33333333333333,F2,2,1
1,16.6666666666667,8.33333333333333,F2,2,1
1,16.6666666666667,8.33333333333333,F2,2,1
1,8.33333333333333,8.33333333333333,F2,2,1
1,41.6666666666667,8.33333333333333,F2,2,1
1,11.1111111111111,16.6666666666667,F2,2,1
1,11.1111111111111,22.2222222222222,F2,2,1
1,50,11.1111111111111,F2,2,1
1,0,16.6666666666667,F2,2,1
1,27.7777777777778,16.6666666666667,F2,2,1
1,22.2222222222222,0,F2,2,1
1,22.2222222222222,0,F2,2,1
1,16.6666666666667,38.8888888888889,F2,2,1
2,20.8333333333333,8.33333333333333,M2,1,1
2,33.3333333333333,25,M2,1,1
2,16.6666666666667,16.6666666666667,M2,1,1
2,25,20.8333333333333,M2,1,1
2,31.5789473684211,36.8421052631579,M2,1,1
2,31.5789473684211,21.0526315789474,M2,1,1
2,28,20,M2,1,1
2,28,32,M2,1,1
2,24,20,M2,1,1
2,40,25,M2,1,1
2,30,35,M2,1,1
2,40,15,M2,1,1
2,20,0,M2,1,1
2,33.3333333333333,6.66666666666667,M2,1,1
2,23.5294117647059,11.7647058823529,M2,1,1
2,29.4117647058824,17.6470588235294,M2,1,1
2,0,11.7647058823529,M2,1,1
2,35.2941176470588,29.4117647058824,M2,1,1
2,8.33333333333333,33.3333333333333,M2,1,1
2,16.6666666666667,33.3333333333333,M2,1,1
2,25,25,M2,1,1
2,5.55555555555556,16.6666666666667,M2,1,1
2,16.6666666666667,11.1111111111111,M2,1,1
3,41.6666666666667,20.8333333333333,M2,1,1
3,58.3333333333333,25,M2,1,1
3,33.3333333333333,29.1666666666667,M2,1,1
3,41.6666666666667,20.8333333333333,M2,1,1
3,29.1666666666667,20.8333333333333,M2,1,1
3,70.8333333333333,25,M2,1,1
3,29.1666666666667,29.1666666666667,M2,1,1
3,41.6666666666667,20.8333333333333,M2,1,1
3,45.8333333333333,29.1666666666667,M2,1,1
3,45.8333333333333,16.6666666666667,M2,1,1
3,25,33.3333333333333,M2,1,1
3,50,16.6666666666667,M2,1,1
3,29.1666666666667,12.5,M2,1,1
3,33.3333333333333,29.1666666666667,M2,1,1
3,25,41.6666666666667,M2,1,1
3,29.1666666666667,16.6666666666667,M2,1,1
3,16.6666666666667,20.8333333333333,M2,1,1
3,37.5,25,M2,1,1
3,45.8333333333333,16.6666666666667,M2,1,1
3,25,37.5,M2,1,1
3,26.3157894736842,21.0526315789474,M2,1,1
3,31.5789473684211,15.7894736842105,M2,1,1
3,26.3157894736842,26.3157894736842,M2,1,1
3,26.3157894736842,31.5789473684211,M2,1,1
3,36.8421052631579,26.3157894736842,M2,1,1
