Session,Birds,Sex,BaseLine_Perf,Delta_Perf,Theta_Perf,Alpha_Perf,Beta_Perf,Gamma_Perf,D_T_Perf,D_A_Perf,D_B_Perf,D_G_Perf,T_A_Perf,T_B_Perf,T_G_Perf,A_B_Perf,A_G_Perf,B_G_Perf
1,2,2,0.0176845200090523,0.014173184532717,0.0176002713571112,0.0208750625690782,0.0159728017198034,0.0171697534710528,0.0110971884555127,0.015372717236898,0.0122780009924647,0.0201631490006504,0.0221426530056689,0.0185278725911336,0.0216934271605618,0.0177774414958724,0.0172328051314296,0.0172639166016177
2,2,1,0.011688364588696,0.0115487886511761,0.018000576807105,0.0143422251162322,0.00832030047541079,0.0187283858009007,0.0209618936414304,0.00945132711659307,0.00805226357086845,0.0193732665932697,0.0191016223119653,0.0115019704984582,0.0276849580847699,0.0162473942922509,0.0149475154669388,0.0143766791924186
3,2,1,0.159849086734984,0.200419151782989,0.108243236276839,0.104848766989178,0.0906279351976183,0.144241010480457,0.149457355340322,0.13238067428271,0.10334131916364,0.187231455908881,0.0618482463889652,0.0488413314024607,0.0892704533206092,0.0469118926260206,0.0770382927523719,0.076651656627655
4,3,2,0.274100677218548,0.314672687025957,0.223170469666636,0.180275065261264,0.160214479579482,0.223195805106052,0.262156946021457,0.253031714711078,0.185371604769729,0.2665369011635,0.137205026177473,0.103144457173902,0.182927758887757,0.0922054281068403,0.123906850814819,0.10838855005974
5,1,1,0.262650270838487,0.306970755050057,0.239189125989613,0.206100202234168,0.121330763164319,0.201091964621293,0.258220118597934,0.246663057804108,0.149423926127584,0.249400726117586,0.18323840091103,0.0912987200837386,0.17781836233641,0.0820581461253919,0.136838958137914,0.0727804221605
6,1,2,0.0263265497756727,0.0217514092271978,0.0254655582736237,0.0288193099426501,0.0251845994380989,0.0236925958382963,0.0217743154728051,0.0235455264948835,0.0216650685878715,0.0207156394467209,0.0287053344225643,0.0242931999341406,0.0242386671027752,0.0275653269555834,0.0271602218801325,0.0253411314704201
7,1,1,0.264874749111407,0.288397895567345,0.214480558429101,0.214466586257472,0.143779820263988,0.211835105009753,0.230764582301631,0.24427433929058,0.166757067044576,0.221824447916012,0.157379235884156,0.0913226616503012,0.158613577033534,0.110089421272278,0.160724942130272,0.122969048191803
8,2,1,0.397660705698542,0.40868319373533,0.209210417356836,0.268472185335964,0.264844362276146,0.33651309630957,0.218257927750967,0.267892789409821,0.279080514448235,0.359432544334825,0.121057162083775,0.0892767597393817,0.164079729332981,0.145881932902049,0.187698487775872,0.225095302225595
9,1,1,0.357404626591105,0.384514457742933,0.22944588308603,0.274072328083952,0.238910272927351,0.316126417945808,0.233449268508965,0.301386337045213,0.26918062189935,0.346013439373231,0.167662832098947,0.102085964780458,0.179439031741988,0.167150399214785,0.221205590476452,0.188177712366615
10,2,1,0.372047247030796,0.373067713700808,0.187331955402325,0.271487257419488,0.274320856882976,0.339521971268532,0.203286735675274,0.279829874252662,0.287535381622804,0.343199273714652,0.104753092313424,0.0805762624129271,0.143318817401544,0.168644380110961,0.220977382782178,0.246528756160002
11,2,1,0.381794009985549,0.414503800735045,0.203638596481152,0.253918485695057,0.212037783660246,0.332744361309523,0.227996392196484,0.267092469033231,0.257817623990305,0.374613096205036,0.12240795807892,0.0835003096066164,0.160392056020458,0.112876149375787,0.189354846986492,0.164641939522175
12,1,2,0.0237622481584549,0.0234639328718185,0.0234538179636002,0.0226810204982758,0.0276084017753601,0.0228184521198273,0.0247035229206085,0.0212346303462982,0.0239964407682419,0.0224623191356659,0.0272385895252228,0.0214199507236481,0.0236387121677399,0.0244968837499619,0.0247312450408936,0.0246401607990265
13,1,2,0.0459549175095312,0.054498933639723,0.029033284826377,0.0357740416969221,0.0357587724616847,0.0427514056569522,0.0361192232554721,0.0422322492009586,0.0516556581271063,0.0570263776582541,0.0264972177977414,0.0247316735306966,0.0271290325626885,0.0323499017155048,0.0343297621638504,0.0364938974380493
14,1,1,0.38238822751575,0.437832819090949,0.247224409050412,0.268607971403334,0.264517520533668,0.310775179333157,0.31655174891154,0.327332882086436,0.309694288836585,0.352397501468658,0.124637636873457,0.120141593615214,0.170293645064036,0.169054967827267,0.201080618964301,0.221979415416718
15,2,1,0.362099921878646,0.380519547006663,0.189467307399301,0.222405478358269,0.274364678298726,0.31281924773665,0.170564714600058,0.24673772910062,0.298967791830792,0.326640298261362,0.0694300655056449,0.10617860538118,0.150690257549286,0.159236159394769,0.180670073803733,0.240532361409243
16,3,2,0.344128024750862,0.378321373808211,0.213408102159915,0.251543513242749,0.219425095164258,0.294391737468001,0.222413608129474,0.282450719156127,0.229952840701393,0.335786757261857,0.133424818515778,0.109257922656294,0.159324141516202,0.128342799518419,0.183579255705294,0.158841768036718
17,1,1,0.402543470026955,0.449840337511093,0.249410460865687,0.27484130859375,0.279890573213971,0.367944488449702,0.274022126008594,0.298419453794994,0.31207235275753,0.39920162965381,0.127450303425865,0.128512285058461,0.215071237276471,0.166873692520081,0.209675645071363,0.243461622132195
18,1,2,0.134154590467612,0.155643670509259,0.0944776572287083,0.0804159504671891,0.0967594832181931,0.115416112045447,0.113127103696267,0.0885292546202739,0.106706210101644,0.138028971850872,0.0468623023480177,0.0564386527985334,0.0762370073546966,0.0516191584368547,0.0778658905376991,0.0852424229184787
19,3,1,0.25652655184269,0.256449137926102,0.151490262746811,0.194552228450775,0.220248458981514,0.250859040617943,0.142006768584251,0.195897715091705,0.225999811887741,0.255444247126579,0.0544860672950745,0.100413687825203,0.148070957660675,0.153197817802429,0.190825759768486,0.221278020739555
20,2,1,0.370752195517222,0.358657229364964,0.216804960317779,0.269289464281316,0.245826790207311,0.308930027903172,0.196096762230522,0.252374695058455,0.244508904323243,0.310976371430514,0.130838142152418,0.116318849095127,0.173625898988623,0.14578167074605,0.196757343777439,0.218520939350128
21,3,2,0.314911388299044,0.353091252200744,0.193987479104715,0.206683328046518,0.194922303452211,0.28100471812136,0.219489725197063,0.226664280190187,0.228016419445767,0.337592629825368,0.091914515284931,0.0864773857242921,0.174576459562077,0.0971449815175113,0.170354489017935,0.175615985603893
22,1,2,0.073874738413034,0.0822157386651973,0.0441283036753074,0.047353627140989,0.0550200920744041,0.0725006110889395,0.0568778133883919,0.0569085534085932,0.0663131727385767,0.0804312843637368,0.0319883768091497,0.0387148789523803,0.0463016500178072,0.0328675815739582,0.0481488059476479,0.0562319024321959
23,2,1,0.341150359312693,0.36118561691708,0.239841160509321,0.20495660437478,0.219534032874637,0.293351638317108,0.244227536519368,0.231971826818254,0.239493501186371,0.321244238482581,0.106661427021027,0.104106435510847,0.192978627151913,0.114531526300642,0.159481014145745,0.178661930561066
24,1,2,0.0775604499984033,0.107748089377413,0.0558361558570075,0.0472919326467612,0.0519356193001737,0.0679222290048894,0.0719992721203676,0.0605050546606791,0.0716199813429842,0.0904629789676863,0.0325415066837035,0.0440722476575792,0.0485389373966099,0.0361263008461785,0.0397089848813322,0.040560187138233
25,2,1,0.129737101850056,0.218890735081264,0.0682793628601801,0.062252680460612,0.0830324036734445,0.13162093219303,0.122068075906663,0.152460594971975,0.185143232345581,0.215780896799905,0.0272923197065081,0.039235322248368,0.0543813251313709,0.0385470418702988,0.0525359170777457,0.0798066769327436
26,3,2,0.157908589281934,0.224326349319296,0.0799702380565887,0.0844060601072108,0.0978282373002235,0.154216397315898,0.109346560975339,0.115366367583579,0.149125508805539,0.220091779181298,0.0411175032879444,0.0477054322019536,0.0771445213480199,0.0548453990449297,0.0783902191101237,0.1089134026081
27,1,2,0.289544115831823,0.33033557585728,0.168410421889505,0.131253322701395,0.19599891886299,0.264460395147771,0.208068094135802,0.16745850701391,0.224985811445448,0.307530372966955,0.0459683508048823,0.101098251931461,0.140401592961064,0.0690352946151922,0.109699938768222,0.1714853004173
28,3,1,0.341763879060745,0.371170608997345,0.155662893652916,0.198029274344444,0.271527191400528,0.33987867474556,0.14600554227829,0.207375118732452,0.289834979176521,0.369225434064865,0.0519737315177917,0.0929888254404068,0.160553306341171,0.145624003410339,0.197017601132393,0.273145179748535
29,2,1,0.197536097702227,0.261433256299872,0.124588791320198,0.137872470052619,0.11787252990823,0.176398854506643,0.164968239633661,0.187331310698861,0.159561222477963,0.229324367799257,0.0705366667948271,0.0574108406117088,0.105318043106481,0.0744615316390991,0.117662802495454,0.100530379696896
30,3,2,0.219463602651524,0.236834969701646,0.139681268341934,0.121718536449384,0.126342126840278,0.208126390282112,0.172211512734618,0.157343294801591,0.155314527734925,0.227107526380805,0.0678813970541652,0.0560852025128618,0.113720924793919,0.0671316008024578,0.128595534759232,0.117748621143872
31,1,1,0.377665634950002,0.450585464636485,0.241151328881582,0.228088768323263,0.242275261878967,0.364310272534688,0.310493210951487,0.307462203502655,0.30536017815272,0.438821478684743,0.117611316839854,0.12761146624883,0.209679897626241,0.123611915111542,0.207746585210164,0.219786743323008
32,1,2,0.180670155212283,0.218559209257364,0.120449292783936,0.0858521709839503,0.0986426565796137,0.162816614533464,0.145983937506874,0.116693843156099,0.123250031843781,0.197572536145647,0.0425536142041286,0.0703077608098586,0.107485771179199,0.0491637531667948,0.0726028271019459,0.0783465877175331
33,3,1,0.27417543888092,0.286798395514488,0.145747845172882,0.152614822983742,0.213394976258278,0.271358947753906,0.136241167187691,0.160507806539536,0.220993801355362,0.283216316699982,0.0588698661327362,0.0967224162817001,0.13815237402916,0.106584331393242,0.148252382874489,0.209890075922012
34,2,1,0.081890015891104,0.114253049547022,0.0525189159494458,0.0565724824414109,0.0597393088268511,0.079665102741935,0.0661963260535038,0.0778817561539737,0.0909625373103402,0.103430383133166,0.0393400490283966,0.0370788511001703,0.0444736787767121,0.050653981439995,0.0532745845390089,0.062600056330363
35,2,1,0.0415837824344635,0.0682790270873478,0.032195086138589,0.0297151505947113,0.031172068629946,0.0418693516935621,0.0443625015871865,0.0474551984242031,0.0569800436496735,0.0704669271196638,0.0352964869567326,0.0279803199427468,0.036798084633691,0.0257773646286556,0.0322182502065386,0.0327141506331308
36,3,2,0.0553539284953365,0.0684265626801385,0.0331810690738537,0.0330105975822166,0.0482547581195831,0.0579380095005035,0.0295351997569755,0.046701337452288,0.0628726736262993,0.0737125200253946,0.0242121870870943,0.026573372107965,0.0358534035859285,0.0312068208500191,0.0309577970593064,0.0484787932148686
37,1,2,0.0946674583287075,0.115132922756261,0.0663300660149805,0.0562502649323694,0.0619636835723088,0.0921837122275912,0.0871016979217529,0.0719243791596643,0.0819717450388547,0.119383936298305,0.0286156154912094,0.0447602097330422,0.0674800420629567,0.0452269634296154,0.0656123777915692,0.0614169815490986
38,3,1,0.242068196185912,0.257850677076012,0.120764836518451,0.132378008630541,0.198084811971645,0.243963560672721,0.105278992291653,0.144541694660379,0.211575284750775,0.256963084442447,0.0303937961356808,0.0844269117923698,0.116613640929713,0.105845182833045,0.132249534130096,0.191072999828994
39,1,1,0.490670436812985,0.512150549119519,0.299671593212312,0.282145471342148,0.287026561075641,0.459342179759856,0.295280674772878,0.312412956068593,0.329964077280414,0.485661380713986,0.105490708543408,0.131749946263529,0.255394414547951,0.166877322619961,0.238167036925593,0.255291397533109
