Session,Birds,Sex,BaseLine_Perf,Delta_Perf,Theta_Perf,Alpha_Perf,Beta_Perf,Gamma_Perf,D_T_Perf,D_A_Perf,D_B_Perf,D_G_Perf,T_A_Perf,T_B_Perf,T_G_Perf,A_B_Perf,A_G_Perf,B_G_Perf
1,2,2,70.0457063513413,61.9154348851825,64.4741291600732,64.6807138199818,63.9759753724116,68.6162170420969,56.5387974056006,58.6619386460668,59.0615156537427,60.6683689592598,61.1606735324646,62.2253817498075,64.1708556896439,62.8358057076026,64.3940024022407,64.4169464956903
2,2,1,59.9906558850893,56.2248001347597,59.4047421971668,57.8011131995595,57.4955766274567,60.0046970940249,55.5634390782703,56.0671182648222,53.6828186803218,56.5822793496549,58.8656079115188,56.3212368754697,58.1938385541669,55.7460518361799,59.0770261885868,57.478341243914
3,2,1,79.0086758443254,70.6725479586066,72.8855629966216,72.9163412117226,66.4367548326684,76.6451071958987,65.5248070530984,66.1106056559888,60.0645707086226,68.9257385122539,67.8754224762028,63.0529538372149,70.6924364286083,61.6524252753873,70.112507447812,65.4486804967446
4,3,2,85.6712433872186,79.4552181610692,79.0714885614081,79.4507392937224,72.4169980145072,82.620949847875,73.1022857575549,74.0028961989755,67.3480823871749,76.6643502687494,72.0254930792068,66.0628778041652,75.6926083381821,65.346842688363,75.5765014339358,68.4019563157219
5,1,1,79.4029571613503,74.3919291712683,73.9220837974046,73.324503168288,68.4557559817875,76.6117045736529,68.0966765203156,71.034228950633,64.1992944007479,71.2962904214137,70.3954448560536,65.4607444608867,71.0981940416384,65.3111078236824,71.4865919477107,66.4942302572357
6,1,2,66.1419942831897,60.1402440151175,61.3048708587752,61.149888400748,61.5148055547659,64.931826756292,57.7772480689876,56.9346651926289,57.6557556630049,59.6388983979988,59.2851209737633,59.3877173353112,62.0399129829294,60.2870242999974,61.4512295112297,61.8362837090198
7,1,1,80.8328480132494,75.1400892079593,73.8177666415124,74.4820572479118,71.937587323175,77.8368494279635,67.181032406768,68.6061852129529,66.7530306653494,72.6920647357954,69.1151476868592,66.0805544018169,71.8712279436791,68.1940416108402,71.9061783180961,70.1177003696587
8,2,1,92.1638205270626,86.8191311428646,79.8707082754813,82.7596259817882,80.3479648965795,89.9163946407831,71.4487975654673,76.3726739601964,74.0310179217363,84.8761070669693,67.2454624523458,64.026168558627,77.8907292610388,66.434227789132,79.158549111728,77.7383642600008
9,1,1,84.9345834226629,78.7820316509396,75.0744993241954,77.3649529014194,78.1802985907703,83.4341230539897,68.4407750877732,70.3566568913807,71.9679574986358,76.6915109401993,66.1241082216842,68.953767057033,73.3982470822236,70.8177891319373,76.1553906737348,75.7400641408647
10,2,1,91.3027898263778,85.9406080773558,79.3299893322548,84.8256078726331,79.1648382040614,88.0496496492551,72.8690926779122,77.7875038842371,71.8976546785261,83.115025029349,69.3294808067927,63.0483165697868,76.8044906132151,68.2618413362851,79.7751477752832,74.7771269662114
11,2,1,89.4050523718899,83.9105454402715,77.3055575011032,79.8455454634527,77.3394461289499,87.1836946721194,71.052972743475,75.7554407365357,71.8478196504589,81.7288015978331,68.2720757400714,66.4235468908647,75.5151132679051,66.0984363814519,78.0973678436735,74.8749504492633
12,1,2,68.8223964297616,61.1027079372895,63.2388550965866,62.3547159386077,61.7400337939663,67.2202545349273,58.9065386857805,58.5585020119406,57.6390860413882,60.9975353203359,61.3733005997659,60.3885087618608,62.6185773880267,60.3835382248315,63.2092414002857,61.8911122732587
13,1,2,70.4386272219031,62.7433335085118,64.2864937700757,63.7474512804454,64.3449596219436,69.355681943939,58.7976378961611,58.9689552597077,59.4911058421648,62.8298572208437,59.8387262055029,60.9949556653247,63.8277393285801,62.7632318266896,63.5325364017635,63.5516617951809
14,1,1,83.924847098888,80.20302303688,75.8055810061186,76.804311328447,78.15785309267,81.4250257312889,69.3366737525463,71.339013803345,72.217243575772,76.4778285778458,66.6021034177668,69.4642651841921,72.7137158571835,70.2330923840812,71.9477435420451,76.2887003728037
