Session,Birds,Sex,Intro_Perf,Motif1_Perf,Motif2_Perf
1,F2,2,-0.0119879807902825,-0.00424778790493452,-0.0527239177155651
2,M2,1,-0.0853007430878919,0.0640380905506995,0.0110174554731285
3,M2,1,0.473623981840601,0.406104547741364,0.299550201242637
4,F3,2,0.722515291176584,0.554744950296673,0.423054175134044
5,M1,1,0.57022203001474,0.532322042675808,0.477888262824377
6,F1,2,-0.0136531431670031,0.0113888818607554,-0.0387027894550899
7,M1,1,0.613836814696222,0.498862489485685,0.474079960162382
8,M2,1,0.760998912527735,0.621104960413445,0.55726342444319
9,M1,1,0.73856428549774,0.610000684697766,0.550223824002596
10,M2,1,0.806023753310191,0.561676315183895,0.506879019321064
11,M2,1,0.758557010533342,0.623398868473509,0.552337794541675
12,F1,2,0.20215884537356,0.0448677995888127,-0.0447955055321341
13,F1,2,0.307929265779191,0.189661220820701,0.123250081976139
14,M1,1,0.757777579950473,0.61880911948062,0.574706758608115
15,M2,1,0.717166246123709,0.623754843358026,0.512229250985762
16,F3,2,0.735074824023257,0.572665037026926,0.544774770142703
17,M1,1,0.711552866336585,0.666329939063334,0.549576391017889
18,F1,2,0.354326418344933,0.385284896781647,0.313652844231196
19,M3,1,0.641965098629802,0.483399576647217,0.419773978990341
20,M2,1,0.700246090921735,0.603833477248334,0.473435137859963
21,F3,2,0.711469767004977,0.579336377960236,0.496776970095007
22,F1,2,0.218042069723465,0.276206331288407,0.16649588993158
23,M2,1,0.703539909483193,0.548884505928986,0.515911339130398
24,F1,2,0.496337725446443,0.225274687919852,0.192170845158201
25,M2,1,0.608420572474642,0.366391446781192,0.29846142694038
26,F3,2,0.526930933988695,0.417307435685302,0.332300444082908
27,F1,2,0.691234239973506,0.532850103727678,0.467149980530927
28,M3,1,0.725400652167951,0.598154060191246,0.525293893240982
29,M2,1,0.544753732098831,0.493699258366306,0.334992313983897
30,F3,2,0.612800712107142,0.416502507504251,0.409761146750103
31,M1,1,0.779674184572134,0.686509299972176,0.522996679152409
32,F1,2,0.490169051411687,0.429832456957723,0.369478368943272
33,M3,1,0.64003666796966,0.49859287835049,0.460255978954665
34,M2,1,0.456633136634059,0.249833542353938,0.220878469353273
35,M2,1,0.32957866568218,0.194420888133586,0.100452859386375
36,F3,2,0.376419270153385,0.155938992391694,0.166866706073193
37,F1,2,0.378507574491047,0.300304352880862,0.222995918356868
38,M3,1,0.693572899399641,0.465485874742425,0.43584117863887
39,M1,1,0.805283092058136,0.715841305317546,0.644951860452468
40,F1,2,0.335487443074092,0.24250315997105,0.07831123876813
41,M2,1,0.204259140159371,0.0790183123823493,-0.00866035606444451
42,F2,2,0.672552494939371,0.43739811843448,0.389035919820187
43,F1,2,0.62633292581189,0.347784686137508,0.284016952417554
44,M1,1,0.752585641040808,0.538250720404175,0.477724143306233
45,F2,2,0.517657331050729,0.214224075273238,0.183189742374886
46,M4,1,0.795073744103876,0.66657500048432,0.65523035270836
47,M4,1,0.726246219388451,0.55994845168338,0.507869820585316
48,M4,1,0.74730837409277,0.601800168172161,0.596844265279131
49,M4,1,0.760010710395876,0.62729812686695,0.564495829625311
50,M4,1,0.625853131253274,0.483529264186062,0.538130918493901
51,M4,1,0.545539736315552,0.322172810058457,0.36017461025175
