Session,Birds,Sex,Intro_Perf,Motif1_Perf,Motif2_Perf
1,F2,2,0.117299231989489,0.0902263409532189,0.0234734115062691
2,M2,1,0.295672697258766,0.242497834233293,0.232984737910279
3,M2,1,0.380503904254,0.250585242074974,0.202313936129131
4,F3,2,0.507824873146321,0.453460971282237,0.385207189259838
5,M1,1,0.371420620155971,0.224262135284986,0.180910665556433
6,F1,2,0.337426168953888,0.213023352725806,0.191864413745842
7,M1,1,0.42698783225478,0.378222529353714,0.338366507697092
8,M2,1,0.769533315203373,0.605103837851879,0.556114788131696
9,M1,1,0.573275203732675,0.570687508180042,0.56645987164602
10,M2,1,0.799910834961569,0.617047609890514,0.541779759153544
11,M2,1,0.8329748232967,0.711571129248187,0.659126645185508
12,F1,2,0.768640626743989,0.629798142912903,0.519106763604706
13,F1,2,0.710897743482545,0.675005255637411,0.643328590818784
14,M1,1,0.658063331308484,0.504484132166112,0.498070162679539
15,M2,1,0.796715892885818,0.623196102024908,0.541679212648487
16,F3,2,0.704534744924203,0.712839508921791,0.647556719253477
17,M1,1,0.689322900087189,0.597761475417098,0.537808781686358
18,F1,2,0.174756546177563,0.172769683580131,0.185677276655445
19,M3,1,0.745942243851016,0.64604489356911,0.625729115892174
20,M2,1,0.848321102314016,0.655234036109294,0.658529285529827
21,F3,2,0.764522083551001,0.606463876992174,0.600439432090572
22,F1,2,0.340756609476727,0.369197365347287,0.311663555798877
23,M2,1,0.812812563386372,0.611517487044952,0.62280045353514
24,F1,2,0.401384179754512,0.283356743466598,0.241202902208134
25,M2,1,0.73166395911156,0.591478132502034,0.58768439453867
26,F3,2,0.732143830361046,0.594398781534984,0.559022538694075
27,F1,2,0.693316542585819,0.579197591579799,0.519030490821368
28,M3,1,0.782262507517523,0.653584529979009,0.653726606837906
29,M2,1,0.493659842598421,0.47950513207646,0.430024030235292
30,F3,2,0.715041149907273,0.499695292902455,0.458594623780245
31,M1,1,0.816917184756224,0.707078421869724,0.66521179295272
32,F1,2,0.396266775299145,0.24363292182746,0.252924905479322
33,M3,1,0.752992755789738,0.668543813097282,0.594882400639049
34,M2,1,0.344314802915364,0.207539269605562,0.146635333808661
35,M2,1,0.288875118294346,0.127072349094216,0.115031653282376
36,F3,2,0.528837913143369,0.472724879312348,0.368196869517878
37,F1,2,0.123397873345125,0.137955919421772,0.091147007289579
38,M3,1,0.75967699922028,0.660296498836449,0.627842945166328
39,M1,1,0.811446688388747,0.741625475640975,0.714680950701032
40,F1,2,0.381847945841809,0.260656949711284,0.19814349511125
41,M2,1,0.067269993585757,0.0266392149824394,0.000854465891842383
42,F2,2,0.700590691906814,0.452152513184058,0.456535256781865
43,F1,2,0.675108352481203,0.406621586932368,0.473784711713681
44,M1,1,0.774157296806598,0.429877554060448,0.395276977121618
45,F2,2,0.72399425919609,0.363467569919989,0.363332922401542
46,M4,1,0.813983397351519,0.673583760721108,0.680753432554664
47,M4,1,0.687060169300274,0.519110231594332,0.52202518079645
48,M4,1,0.785835381363011,0.633966863341418,0.592454573696289
49,M4,1,0.775927360624022,0.689149895349068,0.585884214069519
50,M4,1,0.589837775226421,0.350192689332573,0.339072366400517
51,M4,1,0.395224776215092,0.148833645710355,0.125243151777514
