Session,Birds,Sex,Intro_Perf,Motif1_Perf,Motif2_Perf
1,F2,2,0.0061559374880783,0.0173439133274304,0.00628797399032686
2,M2,1,0.123906118685273,0.114726306294731,0.127288369186872
3,M2,1,0.192777310380627,0.0884353288144552,0.0590083030205331
4,F3,2,0.457856026231573,0.267181822098297,0.28574492113651
5,M1,1,0.329956430529317,0.150277903944131,0.147210425965937
6,F1,2,0.265998489762004,0.119751710639992,0.0301750554983377
7,M1,1,0.397164544622515,0.182859318093016,0.162114083663131
8,M2,1,0.850025557939695,0.736989398286439,0.702407073262448
9,M1,1,0.531505462537786,0.290926419703814,0.256479438137222
10,M2,1,0.831129449180211,0.686287107991658,0.732645821848544
11,M2,1,0.83611001592631,0.752101321689216,0.740590274383585
12,F1,2,0.720559740339967,0.525881631468627,0.511116022518638
13,F1,2,0.554564804198132,0.447004431602211,0.497819460455163
14,M1,1,0.610004283031743,0.300696262575258,0.296633289641125
15,M2,1,0.847656975289209,0.68050421884875,0.594459830320184
16,F3,2,0.748164049866643,0.587720243712548,0.609711483267591
17,M1,1,0.623460717309268,0.378020240346377,0.36357377334325
18,F1,2,0.0483093380032048,0.0481112172522586,0.0303765478079224
19,M3,1,0.720074346404407,0.4955758282956,0.446035768567668
20,M2,1,0.853542390463959,0.695842659166262,0.704661895014822
21,F3,2,0.752889387019139,0.438591455573548,0.469258292302496
22,F1,2,0.250137010594441,0.144718391966407,0.123275396860093
23,M2,1,0.824684185516132,0.626696317622009,0.638119023796319
24,F1,2,0.4490476520959,0.177934097913389,0.130088731380898
25,M2,1,0.634068729506827,0.475153465228433,0.44210664727261
26,F3,2,0.651868758137702,0.400881565188322,0.415328023577321
27,F1,2,0.60820951674602,0.405160073801607,0.325568836093324
28,M3,1,0.715201249023242,0.537103587314963,0.508630324649235
29,M2,1,0.345599956296269,0.235334348060457,0.164780973308308
30,F3,2,0.682392282667034,0.379084426702737,0.286581891170353
31,M1,1,0.762932973679222,0.614766280718595,0.566544214128782
32,F1,2,0.3145103402167,0.140005565479278,0.10187434221567
33,M3,1,0.644612936839618,0.519112590170745,0.504927816883059
34,M2,1,0.218311375789217,0.0213106920958573,0.0494241122284683
35,M2,1,0.0760711357477118,0.0185108631466555,-0.00595812697681975
36,F3,2,0.549008488667756,0.242699601822755,0.219535925143689
37,F1,2,0.139150222202613,0.022792691649172,0.0537172923001996
38,M3,1,0.66256482241379,0.476335135938882,0.47543738202817
39,M1,1,0.834029996803246,0.72904182294591,0.748382630247198
40,F1,2,0.260514435102139,0.188846333319785,0.123373414510812
41,M2,1,0.0263724981322348,0.0161213296899681,-0.0363321677606815
42,F2,2,0.764269851835994,0.662622397052233,0.680838704503276
43,F1,2,0.622556858142928,0.388845896856192,0.374450002211541
44,M1,1,0.793793357842943,0.381677788280724,0.388602642198252
45,F2,2,0.682730546892548,0.328919252879079,0.352995379437144
46,M4,1,0.88684994264212,0.75537764798499,0.770535875832432
47,M4,1,0.666460873496382,0.475092711268214,0.443005522714299
48,M4,1,0.749675740824259,0.494243105258141,0.503589720320986
49,M4,1,0.741534060272599,0.494658137926672,0.510251383976532
50,M4,1,0.542774222733358,0.2445827201094,0.220604696312484
51,M4,1,0.244659297780737,0.110488790481032,0.0498319915266741
