Session,Birds,Sex,Intro_Perf,Motif1_Perf,Motif2_Perf
1,F2,2,0.0198179321840735,-0.0167420667552841,-0.000256088341924321
2,M2,1,0.117135084467148,0.0590387924077766,0.0198378460720841
3,M2,1,0.133884275785745,0.0719889281886607,0.0377260538207343
4,F3,2,0.28434805332453,0.214210445324048,0.141739326997261
5,M1,1,0.196703478361646,0.0830704382241752,0.0702459885651692
6,F1,2,0.223315726235191,0.0703102661911576,0.012599848107274
7,M1,1,0.221532192695493,0.124853127039735,0.072624557341154
8,M2,1,0.651278340188931,0.479277205672334,0.415860694726297
9,M1,1,0.321361647471138,0.215092839695178,0.210722126382039
10,M2,1,0.600991756860009,0.508671482497298,0.428540508191944
11,M2,1,0.622283610855309,0.595327426204083,0.532399212651148
12,F1,2,0.540515714092894,0.321902093582214,0.332343926317938
13,F1,2,0.436633673176301,0.333026965966454,0.305133226982676
14,M1,1,0.421521932432988,0.268865552772122,0.177513734667505
15,M2,1,0.53755158048944,0.417119152111673,0.406618649613904
16,F3,2,0.540463410061803,0.553757948236217,0.530616752374667
17,M1,1,0.43781486391148,0.262971564343005,0.237826578800314
18,F1,2,0.0562817936526859,0.0440878666313242,0.0638176501462493
19,M3,1,0.64006787338867,0.517360634737215,0.489852054577291
20,M2,1,0.520469636436819,0.390522064027226,0.298063327891972
21,F3,2,0.630810158052749,0.460704695438923,0.377645198797248
22,F1,2,0.210084979827521,0.117828632939848,0.0743594510064063
23,M2,1,0.512549224442023,0.409140383560001,0.364120765673021
24,F1,2,0.28512165780625,0.095175663391321,0.107052702012408
25,M2,1,0.401601234910304,0.258554776262806,0.23457111623751
26,F3,2,0.479938033694637,0.345925593925129,0.35543150718002
27,F1,2,0.420690162894958,0.236204272975627,0.276272235945702
28,M3,1,0.623345266969568,0.549801545887489,0.528599116538626
29,M2,1,0.275712505850909,0.202301137929897,0.147254069818001
30,F3,2,0.556332414513042,0.317800053441388,0.281110293789514
31,M1,1,0.439945799305859,0.295475183819859,0.229494932706244
32,F1,2,0.18203256098781,0.061692220537494,0.0772515556422008
33,M3,1,0.578589964082825,0.535216883609534,0.479276621019423
34,M2,1,0.132753145777099,0.0529908305261629,0.0164027499843353
35,M2,1,0.0818952322542177,0.0317102698476175,0.0248089833019903
36,F3,2,0.232000060253511,0.144550457573514,0.136270653619724
37,F1,2,0.131247816185418,0.033083593617948,0.0437360384290837
38,M3,1,0.52542564259119,0.503842044266281,0.447777440453454
39,M1,1,0.556672085597747,0.460786396964017,0.466871134781176
40,F1,2,0.155857230152364,0.0575798672216312,0.0654106488894601
41,M2,1,0.0297443796013155,0.0060298215000957,0.0275898488186801
42,F2,2,0.473675907425911,0.38055177042344,0.338808939819441
43,F1,2,0.361701299915186,0.16477671163569,0.184467571019906
44,M1,1,0.483959672306866,0.242547926715044,0.224084847495823
45,F2,2,0.267661340755082,0.132130667709309,0.11339853511625
46,M4,1,0.569854729090767,0.439088738918367,0.504078294724023
47,M4,1,0.430123077293081,0.287106909288836,0.251509229569753
48,M4,1,0.526914075845055,0.276245644361447,0.297774136644092
49,M4,1,0.523890608886491,0.398779134313466,0.299283753204913
50,M4,1,0.357705066338211,0.164637058268205,0.165101659389464
51,M4,1,0.156712921561131,0.0177712543155508,0.0343850241855999
