Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
1,1,0.375015000714064,0.304626508867245,F2,2,1
1,2,0.334181761424181,0.253540243638994,F2,2,1
1,3,0.325290639478207,0.291680475104298,F2,2,1
1,4,0.401096104105798,0.312894632435629,F2,2,1
1,5,0.396732216475144,0.290555674272146,F2,2,1
2,1,0.1409489451669,0.184293129273368,M2,1,1
2,2,0.0504188718413453,0.146100350700795,M2,1,1
2,3,0.195814757703142,0.18455848607115,M2,1,1
2,4,0.21993738527905,0.231346503083874,M2,1,1
2,5,0.114762153161703,0.224879985957028,M2,1,1
3,1,0.518598223420158,0.369734391124176,M2,1,1
3,2,0.53172095292839,0.373462811756467,M2,1,1
3,3,0.640325163451834,0.389469112183481,M2,1,1
3,4,0.571233701140654,0.337494927616419,M2,1,1
3,5,0.550626090965316,0.368162364855376,M2,1,1
4,1,0.635715847838196,0.532679280749666,F3,2,1
4,2,0.733865855406455,0.533217694599305,F3,2,1
4,3,0.747242037128219,0.525574932427307,F3,2,1
4,4,0.741811903139033,0.535227683324302,F3,2,1
4,5,0.680722336592296,0.472694803142534,F3,2,1
5,1,0.602014804262754,0.414394835378732,M1,1,1
5,2,0.603745737744337,0.406279677032009,M1,1,1
5,3,0.587838899215346,0.492067351197192,M1,1,1
5,4,0.556716199573044,0.442033831763268,M1,1,1
5,5,0.561463752883185,0.39869065153009,M1,1,1
6,1,0.300616392162211,0.444219033810745,F1,2,1
6,2,0.291383584036759,0.373887735666887,F1,2,1
6,3,0.359589232483247,0.426744985245538,F1,2,1
6,4,0.287179371756385,0.382618234419659,F1,2,1
6,5,0.227524094370954,0.388295527100151,F1,2,1
7,1,0.601027233811829,0.479124728448475,M1,1,2
7,2,0.644442731016783,0.448301476929103,M1,1,2
7,3,0.595665214700432,0.481080559896487,M1,1,2
7,4,0.565920225718667,0.447535507335414,M1,1,2
7,5,0.63168955740917,0.376519199733738,M1,1,2
8,1,0.767843491928778,0.748138541103079,M2,1,2
8,2,0.911191279465473,0.86731121415672,M2,1,2
8,3,0.78248497448076,0.85836378651668,M2,1,2
8,4,0.858889631299591,0.896345795348543,M2,1,2
8,5,0.896489441658681,0.891489901558353,M2,1,2
9,1,0.698821974841574,0.56037193033259,M1,1,2
9,2,0.757164349365188,0.513117022239796,M1,1,2
9,3,0.675207679840066,0.535958480847349,M1,1,2
9,4,0.623644427078431,0.496092556795232,M1,1,2
9,5,0.696121789576478,0.463698948990536,M1,1,2
10,1,0.681654089307149,0.779764024153136,M2,1,2
10,2,0.826148957373158,0.871463573624055,M2,1,2
10,3,0.839377849055849,0.836861311879648,M2,1,2
10,4,0.917689272627718,0.888047485794163,M2,1,2
10,5,0.890036342633145,0.859282916316757,M2,1,2
11,1,0.810825110288303,0.886073915168754,M2,1,2
11,2,0.800832811019663,0.889410451001944,M2,1,2
11,3,0.803099888060593,0.874875945545758,M2,1,2
11,4,0.756321810581018,0.850200382054041,M2,1,2
11,5,0.743478355539562,0.847893693034422,M2,1,2
12,1,0.361128294460511,0.7077379227457,F1,2,2
12,2,0.347468538006449,0.669213237664746,F1,2,2
12,3,0.359803641328553,0.710981779902921,F1,2,2
12,4,0.321129194798673,0.762424857375563,F1,2,2
12,5,0.375490243405724,0.760198486111789,F1,2,2
13,1,0.451275701027321,0.742676977609506,F1,2,2
13,2,0.386293616594822,0.732829875998842,F1,2,2
